Language,Count
JavaScript,11541
SQL,10944
TypeScript,10437
HTML/CSS,10016
Python,8919
Go,5661
Rust,5597
C#,5590
Bash/Shell (all shells),5582
Java,4048
PHP,2794
Kotlin,2738
C++,2341
PowerShell,2074
C,1833
Dart,1506
Swift,1382
Elixir,1333
Ruby,1294
Zig,1136
Lua,1069
Assembly,594
R,591
Scala,569
F#,531
Haskell,516
GDScript,494
Erlang,455
Clojure,447
Solidity,419
MicroPython,376
Groovy,344
Lisp,331
OCaml,321
Visual Basic (.Net),319
Julia,254
Perl,244
VBA,225
Objective-C,218
MATLAB,204
Delphi,159
Crystal,156
Nim,146
Apex,128
Cobol,117
Prolog,109
Ada,102
Fortran,89
Zephyr,63
